index,name_russian,year,issues,summary_preview
1156,Бывает и так (киноальманах),1965,wrong_timeline: Summary mentions modern technology but film is 1965,"Films It happens and so (film almanac) It happens and so (film almanac) (film, 1965) 1965 About the film Creators and actors Video Review Stills Publications Film in collections Watch online More From the director Similar films Awards Posters Rate the film 1 2 3 4 5 6 7 8 9 10 — Viewers (0) — film. "
1158,Деревянные четки,1964,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"Blog & Journals Read our Blogs 500th anniversary of Our Lady of Guadalupe Catholic Company MagazineThe 500th Anniversary of the Apparition of Our Lady of Guadalupe Grows Closer: What Is The Living Miracle of Her Message. It was to this humble indigenous convert that Our Lady appeared in 1531, and it"
1184,Кто их рассудит?,1963,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"Word History Etymology Adjective Latininization of Middle English corrant, curraunt, borrowed from Anglo-French curant, corant, present participle of coure, courir ""to run, flow,"" going to Latin currere ""to run, roll, move swiftly, flow,"" going to Indo-European *kr̥s-e- ""run,"" whence also Greek epík"
1201,Фантомас,1964,weirdly_written: Bot message/search result page,"1-16 of 210 results for ""fantomas movie"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go Results Check each product page for other buying options"
1224,Снега Килиманджаро,1952,weirdly_written: Bot message/search result page,"8 results for ""ernest hemingway the snows of kilimanjaro and other stories"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go Results Check each product page for other buying options"
1228,Призрак замка Моррисвиль,1966,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
1240,Фараон,1966,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"Pharaoh (Old Russian pharaoh, Old Slavic pharaoh, from the Greek Φαραώ / pharaōn) is the modern name of the rulers of Ancient Egypt. For most of Egyptian history, it was not an official title, but arose initially in the New Kingdom as a euphemism to avoid mentioning the royal name and listing offici"
1255,Выстрел,1966,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"A shot from a firearm or other weapon is a complex complex of physical and chemical phenomena. Knowledge of the processes occurring during a shot and the influence of a large number of external factors on them helps shooters, tank crews, artillerymen, and so on, when calculating data to calculate ac"
1266,Саша-Сашенька,1966,non_plot_driven: Non-plot driven (too short and no plot/film terms),Sasha Krylova works as a painter at Stroykontor. She is an inventor and a dreamer.
1276,Снежная королева,1966,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"“The Snow Queen” (Danish: Snedronningen) is a fairy tale by Hans Christian Andersen in 7 chapters (“stories”, in Soviet translation - “stories”), first published on December 21, 1844 in the volume “New Fairy Tales. This is one of Andersen's longest and most popular fairy tales."
1279,В логове обречённых,1966,weirdly_written: Bot message/search result page,"1-16 of 125 results for ""descent into hell book"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go Results Check each product page for other buying options."
1283,Ангел блаженной смерти,1965,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
1301,Чародей в бригаде,1966,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
1313,Долина семи лун,1966,non_plot_driven: Non-plot driven (too short and no plot/film terms),This article needs additional citations for verification. Please help improve this article by adding citations to reliable sources.
1326,Выстрел,1965,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"A shot from a firearm or other weapon is a complex complex of physical and chemical phenomena. Knowledge of the processes occurring during a shot and the influence of a large number of external factors on them helps shooters, tank crews, artillerymen, and so on, when calculating data to calculate ac"
1348,Семь нот в тишине...,1967,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check"
1351,Бебер путешественник,1963,non_plot_driven: Non-plot driven (too short and no plot/film terms),This article needs additional citations for verification. Please help improve this article by adding citations to reliable sources.
1365,Катерина Измайлова,1966,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"“Lady Macbeth of Mtsensk District” (“Katerina Izmailova”) is an opera by Dmitry Shostakovich in 4 acts, 9 scenes with a libretto by D. Preis based on the story of the same name by N."
1375,Человек без корней,1965,non_plot_driven: Non-plot driven (too short and no plot/film terms),desarraigoPossible Results:desarraigo-uprootingSee the entry for desarraigo. desarraigo-I uprootPresent yo conjugation of desarraigar.
1411,Золотой телёнок,1968,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"“The Golden Calf” is a satirical novel by Ilya Ilf and Yevgeny Petrov, completed in 1931. The plot is based on the further adventures of the central character of “The Twelve Chairs” Ostap Bender, taking place against the backdrop of pictures of Soviet life in the early 1930s, namely the First Five-Y"
1422,Красная мантия,1967,wrong_timeline: Summary mentions modern technology but film is 1967,"Red Robe"" another name - The Viking Saga or Hagbard and Signe (Il. Rauða skikkjan, Danish. Den røde kappe, Swedish. Den röda kappan) is a joint Danish-Swedish-Icelandic historical feature film, directed by Gabriel Axel in 1967. The film premiered on February 25, 1967 (Sweden), January 16, 1967 (Denm"
1445,Непоседы,1967,wrong_timeline: Summary mentions modern technology but film is 1967,"While working at a Komsomol construction site in Siberia, Zoya encounters various comic situations in which her new friends participate. They help her for the suitcase, which turns out to be Sasha's. Gradually, Zoya realizes that real happiness is not in Moscow with the geologist whom she was going "
1447,Татьянин день,1967,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"Tatyana's Day, Russian Students' Day is a memorable date in Russia, as well as a day in the Orthodox calendar and folk month. The name of the day comes from the name of the early Christian martyr Tatiana of Rome, whose memory is celebrated in the Orthodox Church on January 12 (25)."
1450,Отклонение,1967,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"A detour or (British English: diversion) is a (normally temporary) route taking traffic around an area of ​​prohibited or reduced access, such as a construction site. Standard operating procedure for many roads departments is to route any detour over roads within the same jurisdiction as the road wi"
1454,Девушка на трамплине,1967,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
1457,Полный вперёд!,1966,wrong_timeline: Summary mentions modern technology but film is 1966,"Cala naprzÃ³d, Movie, 1966 Pictures provided by: Weasel1984 Display options: Display as images Display as list Make and modelMake and yearYearCategoryImportance/RoleDate added (new ones first)EpisodeAppearance (ep. ) Also known as:CaÅa naprzÃ³dFull AheadVolldampf voraus (East Germany (DDR))1957 Aust"
1494,Тревожное утро,1966,non_plot_driven: Non-plot driven (too short and no plot/film terms),Troubled relations between Kazakhstan and China. Commissioner Toktar Baitenov leads a small detachment of Chekists.
1498,Всюду есть небо,1966,wrong_timeline: Summary mentions modern technology but film is 1966,"Tanya is a little girl who has withdrawn into herself because of a tragic incident - her father, a military pilot, died in peacetime, during a test flight. The little girl's longing for her father becomes unbearable, she even runs to watch the planes fly by, in the hope that she will finally see her"
1504,К свету! (киноальманах),1966,weirdly_written: Encoding artifacts (HTML/URL encoding),"Cinema - Towards the Light&#33; (film almanac) (1966) - Towards the light&#33; (film almanac) (1966) Year 1966 Studio Dovzhenko Film Studio Release date April 22, 1968 Genre Drama, historical film Actors and Boris Shilenko Director Vasily Lapoknysh Director Nikolai Ilyinsky Director Grigory Kolesnik"
1511,Лебединое озеро,1968,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"“Swan Lake” is a ballet by Pyotr Ilyich Tchaikovsky, written in 1876, in four acts. Libretto by Vladimir Begichev and, possibly, Vasily Geltser with additions by the composer himself."
1514,Люди на Ниле,1968,weirdly_written: Bot message/search result page,"1-16 of over 4,000 results for ""ancient egypt biography"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go Results Check each product page for other buying options."
1539,Братья Карамазовы,1968,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (too short and no plot/film terms),“The Brothers Karamazov” is the eighth and last novel by F. The novel was published in parts in the Russian Bulletin magazine.
1563,Наши знакомые,1968,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
1573,Ущелье ведьм,1967,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check"
1581,Жираф в окне,1968,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
1591,Тариэл Голуа,1968,non_plot_driven: Non-plot driven (too short and no plot/film terms),Georgia during the Revolution of 1905. Bolshevik ideas penetrate among the Georgian peasants.
1634,300 спартанцев,1961,weirdly_written: Bot message/search result page,"1-16 of 105 results for ""dvd 300 spartans"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go Results Check each product page for other buying options."
1637,Переступи порог,1970,non_plot_driven: Non-plot driven (too short and no plot/film terms),Everyone predicts the future of a brilliant mathematician for Alik (Alexander) Tikhomirov. But he “cuts off” on the introductory essay.
1643,Золото,1969,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"Gold (chemical symbol - Au, from the Latin Aurum) is an element of group 11 (according to the outdated classification - a secondary subgroup of the first group) of the sixth period of the periodic table of chemical elements with atomic number 79. The Russian word “gold” goes back to the Proto-Slavic"
1654,Профессор преступного мира,1969,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
1695,Флиппер,1963,weirdly_written: Bot message/search result page,"5 results for ""flipper 1963 movie dvd"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go Results Check each product page for other buying options"
1701,"Гори, гори моя звезда",1969,non_plot_driven: Non-plot driven (too short and no plot/film terms),"You are my only treasured one, there will never be another. You are my only treasured one, there will never be another."
1708,Поезд,1964,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"A train in the modern concept is a formed and coupled train consisting of a group of cars, with one or more active locomotives or motor cars driving it, and having installed signals (audible and visible) that indicate its head and tail. In addition, on many (including Russian) railways, each train r"
1716,Тренер,1969,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"A coach (English trainer, from train - to educate, train, prepare) is a specialist in a particular sport who supervises the training of athletes. The coach carries out educational and training work aimed at educating, training and improving skills, developing the functional capabilities of his stude"
1725,Снегурочка,1968,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"Snegurochka (Snegurka, Snezhevinochka) is a Russian fairy-tale and New Year's character, the granddaughter of Father Frost, his constant companion and assistant. During the holidays he acts as an intermediary between children and Santa Claus."
1740,Рядом с другом,1969,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
1748,Мальчишки (киноальманах),1969,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
1755,Голубой лёд,1969,non_plot_driven: Non-plot driven (too short and no plot/film terms),The Berestov figure skaters are defeated at the European Championships. The program needs to be changed.
1760,Король манежа,1969,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
1763,Джура Саркор,1969,wrong_timeline: Summary mentions modern technology but film is 1969,YORA SARCORLFilme-Drama1970No momento não encontramos este título em nenhum streaming. AÇÕESDIREÇÃOMarvorit KasymovaROTEIROLeonid RutitskiyELENCONasyr Khasanov - Tuti Gafarova - Khikmat Latypov - Makhmudzhan Vakhidov - Kimatshoy Imatshoev - Zukhra KhasanovaSINOPSE DE ҶЎRA SARKORSEM INFORMAÇÕES DE SI
1773,Время счастливых находок,1969,non_plot_driven: Non-plot driven (too short and no plot/film terms),12-year-old Sandrik lives in the city of Sukhumi. The boy strives to help everyone and find lost things.
1778,Автомат желаний,1967,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
1781,Свобода или смерть,1969,weirdly_written: Bot message/search result page,"1-16 of over 1,000 results for ""freedom or death"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go Results Check each product page for other buying options."
1789,Балерина,1969,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"A ballerina (Italian ballerina - dancer, from Italian ballare - to dance) is an artist of the ballet theater, a performer of classical dances, trained according to academic ballet canons and using finger technique in dance. In Russia in the 20th century, any ballet dancer began to be called a baller"
1816,Городской романс,1970,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"Urban romance (everyday) is a type of Russian romance that existed as folklore in Russia at the end of the 19th - first half of the 20th centuries. The main distinctive features of urban romance from a literary point of view are specificity in images, step-by-step composition, the lyrical hero’s ide"
1828,Укрощение строптивой,1967,weirdly_written: Bot message/search result page,"1-16 of 19 results for ""arden taming of the shrew"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go Give the Gift of ShakespeareSponsored|Shop nowPrevious pageHamlet: Revised Edition (The Arden Shakespeare Third )4"
1837,Чемпион,1949,non_plot_driven: Non-plot driven (too short and no plot/film terms),"In some sports, the highest title is world champion. Olympic champion is an athlete or team who has won an Olympic Games tournament."
1845,Счастье Анны,1970,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
1862,Кража,1971,non_plot_driven: Non-plot driven (too short and no plot/film terms),"Covers encroachment on any form of property. Legally different from such similar types of theft as: robbery, robbery, fraud, embezzlement."
1876,Хозяин,1970,non_plot_driven: Non-plot driven (too short and no plot/film terms),"According to the etymological dictionary of the Russian language, edited by M. Vasmer, the word “master” is a borrowing from Turkic languages."
1913,"Завтра, третьего апреля...",1969,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check"
1915,Сердце России,1970,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"The “Heart of Russia” media forum is an educational and educational project aimed at supporting student and youth media in Russia, developing journalism in order to form a pool of young people who share the traditional values of Russia. In the Year of Defender of the Fatherland, the media forum brin"
1930,Седьмой год,1968,non_plot_driven: Non-plot driven (too short and no plot/film terms),This article needs additional citations for verification. Please help improve this article by adding citations to reliable sources.
1931,Пеппи Длинныйчулок,1969,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"Pippi Longstocking (Swedish: Pippi Långstrump, full name: Peppilotta Viktualia Rullgardina Krusmynta Efraimsdotter Långstrump) is the main character of the story of the same name by the Swedish writer Astrid Lindgren and her continuations. Pippi is a fantastically strong and independent girl, whose "
1933,В те дни,1970,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
1940,Дядя Ваня,1970,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"“Uncle Vanya” is a play by Russian writer and playwright Anton Pavlovich Chekhov with the subtitle “Scenes from village life in four acts. In 1889, Chekhov completed the play “The Leshy” (a comedy in 4 acts), published in 1890."
1942,Крутизна,1970,non_plot_driven: Non-plot driven (too short and no plot/film terms),"Derived from the adjective cool, then from praslav. *krǫt-: *kręt-, from which, among other things, came: Russian."
1944,Родник Эгнар,1970,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
1945,Волшебник,1969,non_plot_driven: Non-plot driven (too short and no plot/film terms),"The image of a wizard is found in the folklore of almost all nations. The archetypal wizard is, for example, Merlin from the Arthurian legends."
1961,Размышление,1969,weirdly_written: Bot message/search result page,"1-16 of 275 results for ""crystal structure book"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go Results Check each product page for other buying options."
1975,Берёза,1967,weirdly_written: Encoding artifacts (HTML/URL encoding),"Cinema - Birch (1967) - Birch (1967)Year1967StudioJadran FilmRelease date27 June 1967 (Yugoslavia), June 1971 (USSR)Genredrama, melodramaActors and crewAnte BabaiaDirectorAnte BabaiaScreenwriter Slavko KolarScreenwriter Bozidar ViolicScreenwriterTomislav Pinter Director of photography Angelko Klobuc"
1976,... А зори здесь тихие,1972,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
1978,Даурия,1971,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"Dauria (Daurian land) is a historical and geographical region within the modern Republic of Buryatia, the Trans-Baikal Territory and the Amur Region (Transbaikalia and the west of the Amur region). The toponym was given by Russian explorers for the Daur people who inhabited the region until the mid-"
1986,Женщины и берсальеры,1968,wrong_timeline: Summary mentions modern technology but film is 1968,Review by Ettore Dalla Zanna ★½ When Bobby Solo appears in a Little Tony movie and you almost manage to watch musicarelli's Heat. Translate Translated from by
1990,"Я, следователь...",1971,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
1993,Приключения гайдука Ангела,1970,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2028,Если ты мужчина...,1971,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2030,Девятнадцать девушек и один моряк,1971,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2033,Освобождение Л.Б.Джонса,1969,weirdly_written: Bot message/search result page,"14 results for ""liberation of l b jones"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go Results Check each product page for other buying options."
2042,"Загнанных лошадей пристреливают, не правда ли?",1969,non_plot_driven: Non-plot driven (too short and no plot/film terms),"“They shoot driven horses, don’t they. ” (English: They Shoot Horses, Don't They."
2043,Нежданный гость,1972,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2053,Красная метель,1971,weirdly_written: Encoding artifacts (HTML/URL encoding),"Cinema - Red Blizzard (1971) - Red Blizzard (1971)Viforul ro&#351;uYear1971StudioMoldova-filmRelease dateApril 3, 1972Genrewar film, drama, screen adaptationActors and crewVasily PascaruDirectorGeorgiy MalarchukScreenwriterVlad ChuryaDirector of PhotographyEvgeniy (Eugen) DogaComposerNikolai Apostol"
2062,Королевская охота,1969,non_plot_driven: Non-plot driven (too short and no plot/film terms),American steeplechase legend Lonesome Glory died Feb. 25 from injuries suffered in a paddock accident at trainer Bruce Miller's farm.
2068,Только ты,1972,wrong_timeline: Summary mentions modern technology but film is 1972,"Only You"" is a feature film directed by Evgeny Sherstobitov based on the operetta “White Acacia"" by Isaac Dunaevsky (in turn, based on the play by Vladimir Mass and Mikhail Chevinsky). Film and theater critic Valery Kichin, while acknowledging the “brightness of the colors,” “daring choreography,” a"
2069,Чёрная гора,1970,non_plot_driven: Non-plot driven (too short and no plot/film terms),FREQUENTLY ASKED QUESTIONSWho is Indy Pass. Indy Pass is a multi-mountain pass with access to over 200 independent ski areas throughout the world
2074,Пеппи в стране Така-Тука,1970,weirdly_written: Bot message/search result page,"1-24 of 209 results for ""pippi longstocking book"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Publication Date Most reviews Best Sellers Sort by:Featured Go Results Check each product page for other buying options."
2082,Вполне порядочные парни,1971,non_plot_driven: Non-plot driven (too short and no plot/film terms),"Melancholic Fox's music, a bunch of good guys - drivers building a bridge. And the dilemma of what to do with premiums for attributed fairs."
2094,Не оглядывайся назад,1970,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check"
2130,В Москве проездом...,1970,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2133,Затем родилась легенда,1969,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2134,Велосипедисты,1970,weirdly_written: Encoding artifacts (HTML/URL encoding),"Cinema - Cyclists (1970) - Cyclists (1970) Year 1970 Studio Dunav Film Release date 4 July 1970 (Belgrade), 31 January 1972 (USSR) Genre War film and Mladomir &#39;Puriša&#39; DjordjevicDirectorMladomir &#39;Puriša&#39; Djordjevic Screenwriter Jovan Jovanovic Director of photography Vojislav Kostic "
2135,Пан Тау,1970,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"Tau"") is a character created for a children's television series. There were 33 episodes in 3 series made by the Czechoslovak Television (ČST) in cooperation with Barrandov Studios and the West German TV network Westdeutscher Rundfunk (WDR)."
2136,Давным-давно (киноальманах),1971,weirdly_written: Encoding artifacts (HTML/URL encoding),"Cinema - A long time ago (film almanac) (1971) - A long time ago (film almanac) (1971)&#4307;&#4312;&#4307;&#4312; &#4334;&#4316;&#4312;&#4321; &#4332;&#4312;&#4316;&#4304;&#4311;Year 1971Studio Georgia-film Release date March 13, 1972 (Moscow) Genre film story Actors and Rezo Charkhalashvili Direct"
2142,Романтики,1970,non_plot_driven: Non-plot driven (too short and no plot/film terms),Disclosure: This post contains affiliate links. We may receive compensation when you click on links to products in this post.
2149,Путина,1971,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2193,Последний гайдук,1972,weirdly_written: Highly repetitive text,"History feeds ODESSA CHRONOGRAPH: Odessa, or There and Back. ODESSA CHRONOGRAPH: Odessa, or There and Back."
2196,Дела давно минувших дней...,1972,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2197,Неделя безумных,1971,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2217,Последние дни Помпеи,1972,non_plot_driven: Non-plot driven (too short and no plot/film terms),"A visiting team of pop artists is on tour in the resort town. Seeing bright posters, people willingly buy tickets."
2258,Гроссмейстер,1972,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"Grandmaster (German: Großmeister “great master”) is the highest chess title: awarded for life by FIDE for outstanding achievements in international competitions, as well as by the Russian Chess Federation for successful performances in international competitions. At the beginning of the 20th century"
2261,Карпухин,1972,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"Karpukhin (feminine form of Karpukhina) is a Russian surname. Comes from the worldly name Karpukha, which, in turn, is one of the derivatives from the baptismal male name Karp (translated from Greek means “fruit”)."
2263,Когда зацвёл миндаль,1972,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"Tenth-grader Zura Mamatsashvili from Tbilisi is the son of wealthy parents, living a carefree life. First, he steals his father’s friend’s car and rides with his classmates to Mtskheta, for which the school director excludes Zura from participating in the bicycle racing competition."
2268,Облака,1973,weirdly_written: Bot message/search result page,"1-16 of over 100,000 results for ""documentary movie"" Sort by: Featured Price: Low to High Price: High to Low Avg. Customer Review Newest Arrivals Best Sellers Sort by:Featured Go PBS Distribution Murder and Mystery for All"
2271,Дом для Серафима,1973,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2275,Скандал в старом городе,1971,non_plot_driven: Non-plot driven (too short and no plot/film terms),There is rebellion in Amagergade in Christianshavn. There are rumors that the street must be demolished to make room for a large harbor center.
2283,Перед рассветом,1971,wrong_timeline: Summary mentions year(s) ['1989'] but film is 1971 (large discrepancy),"Bad time and bad place, but the is still above 7. The film “Before Dawn”, shot by director Yaroslav Lupii in 1989, tells about a group of Soviet intelligence officers performing a dangerous mission behind enemy lines"
2305,Теплое осеннее солнце,1973,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check"
2307,Этот славный парень,1972,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2328,"Пой песню, поэт...",1971,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2331,Герловская история,1971,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2337,Как закалялась сталь,1973,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"How the Steel Was Tempered is a partially autobiographical novel by Soviet writer Nikolai Ostrovsky, written between 1930 and 1934. The book belongs stylistically to the genre of socialist realism."
2338,Километры жизни,1971,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2359,Океан,1973,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"The Ocean (ancient Greek Ὠκεανός, on behalf of the ancient Greek deity Ocean) is the largest body of water that forms part of the World Ocean, located among the continents, with a water circulation system and other specific features. The ocean is in continuous interaction with the atmosphere and the"
2379,Возле этих окон...,1973,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2395,Дела сердечные,1973,non_plot_driven: Non-plot driven (too short and no plot/film terms),"An ambulance rushes through Moscow at night. The cardiology team consisting of a doctor, two paramedics and a driver again rushes to the patient."
2399,Опознание,1973,non_plot_driven: Non-plot driven (too short and no plot/film terms),"identify, from o- + po- + know, further from praslav. *znati, from which, among other things, came: Old Russian."
2403,"Снимай шляпу, когда целуешь",1971,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2412,"Беги, чтобы тебя поймали",1972,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2421,Соленый пёс,1973,weirdly_written: Bot message/search result page,"Please confirm that you and not a robot are sending requestsWe're sorry, but it looks like requests sent from your device are automated. After checkbox you will have additional check."
2425,Города и годы,1973,weirdly_written: Dictionary definition (not about film); non_plot_driven: Non-plot driven (definition only),"“Cities and Years” is a novel by Konstantin Fedin published in 1924, which made him one of the leading representatives of Soviet literature. One of the first attempts in Russian literature to comprehend the experience of the First World War and the Civil War."
2432,Одинокий волк,1972,non_plot_driven: Non-plot driven (too short and no plot/film terms),"Accessorize View all Quick view Cable Aider™️$14. 99 icon-X ""Close (esc)"" Quick view Treestand Backpack Carrying Straps$64."
